종목별,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
코오롱인더,"81,300","상승2,500",+3.17%,"116,482","9,376","22,373"
한국카본,"43,050","상승1,200",+2.87%,"598,907","26,250","22,347"
코스맥스,"193,500","하락2,800",-1.43%,"8,431","1,644","21,961"
아모레퍼시픽홀딩스,"28,050",하락300,-1.06%,"21,168",594,"21,447"
미스토홀딩스,"40,200","하락2,000",-4.74%,"35,204","1,421","21,343"
BGF리테일,"123,100",상승200,+0.16%,"6,223",764,"21,276"
현대백화점,"84,200","하락2,600",-3.00%,"14,010","1,191","19,053"
대웅제약,"163,400","상승4,000",+2.51%,"8,404","1,364","18,932"
한국콜마,"78,500","하락1,100",-1.38%,"37,914","2,975","18,530"
SK아이이테크놀로지,"21,650",하락450,-2.04%,"29,413",641,"17,707"
동원산업,"40,000",보합0,0.00%,"7,674",306,"17,659"
금호타이어,"6,110",하락110,-1.77%,"78,771",481,"17,552"
녹십자,"150,100","상승1,100",+0.74%,"8,444","1,267","17,541"
GS리테일,"20,700",상승100,+0.49%,"19,544",405,"17,307"
효성티앤씨,"393,000","상승8,000",+2.08%,"10,050","3,968","17,008"
호텔신라,"42,200",하락500,-1.17%,"43,321","1,825","16,563"
파라다이스,"17,400",상승430,+2.53%,"176,183","3,043","16,118"
오리온홀딩스,"24,900",상승50,+0.20%,"24,254",603,"15,599"
대웅,"25,200",상승900,+3.70%,"32,375",807,"14,652"
오뚜기,"365,500","하락5,000",-1.35%,"1,107",404,"14,649"
롯데정밀화학,"51,700","상승1,100",+2.17%,"14,858",764,"13,339"
태광산업,"1,194,000","하락17,000",-1.40%,497,593,"13,294"
DL,"60,900","상승2,700",+4.64%,"56,725","3,418","12,762"
종근당,"91,900","상승2,100",+2.34%,"11,764","1,077","12,685"
한일시멘트,"16,790",하락220,-1.29%,"18,372",310,"12,348"
하이트진로,"16,570",하락90,-0.54%,"44,757",741,"11,621"
영풍,"62,000",하락800,-1.27%,"11,930",737,"11,208"
롯데칠성,"118,800","하락1,100",-0.92%,"2,787",331,"11,023"
더블유게임즈,"50,200",보합0,0.00%,"3,671",184,"10,629"
롯데웰푸드,"113,500","하락1,300",-1.13%,"3,225",368,"10,561"
지역난방공사,"91,400",상승200,+0.22%,"10,821",987,"10,583"
한샘,"43,400",하락200,-0.46%,"3,750",162,"10,214"
HS효성첨단소재,"222,000","하락2,500",-1.11%,"1,899",424,"9,945"
에스디바이오센서,"8,050",상승120,+1.51%,"25,236",202,"9,801"
SK케미칼,"55,800",하락400,-0.71%,"7,271",409,"9,653"
대한유화,"134,400","하락1,300",-0.96%,"5,841",787,"8,736"
세방전지,"60,800",하락600,-0.98%,"4,076",247,"8,427"
후성,"7,450",상승110,+1.50%,"109,239",806,"7,991"
세아제강지주,"185,400","하락1,400",-0.75%,"12,812","2,413","7,679"
동원시스템즈,"26,350",하락300,-1.13%,"12,044",316,"7,639"
TKG휴켐스,"18,510",하락150,-0.80%,"13,147",243,"7,567"
GKL,"12,000",보합0,0.00%,"41,188",492,"7,423"
대상,"20,950",하락100,-0.48%,"28,147",589,"7,259"
녹십자홀딩스,"14,110",하락20,-0.14%,"23,870",339,"6,636"
미원상사,"135,900",하락700,-0.51%,"1,429",195,"6,455"
미원에스씨,"125,800","하락2,700",-2.10%,"1,857",233,"6,290"
율촌화학,"24,200",상승500,+2.11%,"22,626",537,"6,002"
코스모화학,"15,340",상승150,+0.99%,"60,792",929,"5,892"
아세아,"274,000","하락4,500",-1.62%,364,99,"5,679"
